DriverNumber,Abbreviation,TeamName,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,TrackStatus,PitOutTime,PitInTime,IsPersonalBest,LapTimeSeconds
63,RUS,Mercedes,24.0,0 days 00:01:32.852000,0 days 00:00:29.890000,0 days 00:00:37.327000,0 days 00:00:25.635000,1.0,SOFT,27.0,False,1,,,False,92.852
63,RUS,Mercedes,25.0,0 days 00:01:32.863000,0 days 00:00:29.909000,0 days 00:00:37.461000,0 days 00:00:25.493000,1.0,SOFT,28.0,False,1,,,False,92.863
63,RUS,Mercedes,26.0,0 days 00:01:32.958000,0 days 00:00:29.802000,0 days 00:00:37.537000,0 days 00:00:25.619000,1.0,SOFT,29.0,False,1,,,False,92.958
63,RUS,Mercedes,27.0,0 days 00:01:33.062000,0 days 00:00:29.871000,0 days 00:00:37.552000,0 days 00:00:25.639000,1.0,SOFT,30.0,False,1,,,False,93.062
63,RUS,Mercedes,28.0,0 days 00:01:32.504000,0 days 00:00:29.894000,0 days 00:00:37.569000,0 days 00:00:25.041000,1.0,SOFT,31.0,False,1,,0 days 01:45:37.282000,False,92.504
63,RUS,Mercedes,29.0,0 days 00:01:53.262000,0 days 00:00:50.724000,0 days 00:00:37.231000,0 days 00:00:25.307000,2.0,MEDIUM,1.0,True,1,0 days 01:46:06.781000,,False,113.262
63,RUS,Mercedes,30.0,0 days 00:01:31.510000,0 days 00:00:29.321000,0 days 00:00:37.145000,0 days 00:00:25.044000,2.0,MEDIUM,2.0,True,1,,,True,91.51
63,RUS,Mercedes,31.0,0 days 00:01:31.800000,0 days 00:00:29.104000,0 days 00:00:37.339000,0 days 00:00:25.357000,2.0,MEDIUM,3.0,True,1,,,False,91.8
63,RUS,Mercedes,32.0,0 days 00:01:40.097000,0 days 00:00:29.566000,0 days 00:00:37.175000,0 days 00:00:33.356000,2.0,MEDIUM,4.0,True,126,,,False,100.097
63,RUS,Mercedes,33.0,0 days 00:02:08.178000,0 days 00:00:41.806000,0 days 00:00:51.231000,0 days 00:00:35.141000,2.0,MEDIUM,5.0,True,64,,,False,128.178
63,RUS,Mercedes,34.0,0 days 00:02:11.011000,0 days 00:00:47.259000,0 days 00:00:46.162000,0 days 00:00:37.590000,2.0,MEDIUM,6.0,True,4,,,False,131.011
63,RUS,Mercedes,35.0,0 days 00:02:26.512000,0 days 00:00:47.905000,0 days 00:00:59.461000,0 days 00:00:39.146000,2.0,MEDIUM,7.0,True,4,,,False,146.512
63,RUS,Mercedes,36.0,0 days 00:02:26.366000,0 days 00:00:54.080000,0 days 00:00:55.585000,0 days 00:00:36.701000,2.0,MEDIUM,8.0,True,4,,,False,146.366
63,RUS,Mercedes,37.0,0 days 00:02:24.727000,0 days 00:00:51.251000,0 days 00:00:55.160000,0 days 00:00:38.316000,2.0,MEDIUM,9.0,True,4,,,False,144.727
63,RUS,Mercedes,38.0,0 days 00:02:18.924000,0 days 00:00:41.753000,0 days 00:00:55.605000,0 days 00:00:41.566000,2.0,MEDIUM,10.0,True,41,,,False,138.924
63,RUS,Mercedes,39.0,0 days 00:01:31.848000,0 days 00:00:29.049000,0 days 00:00:37.331000,0 days 00:00:25.468000,2.0,MEDIUM,11.0,True,1,,,False,91.848
63,RUS,Mercedes,40.0,0 days 00:01:31.606000,0 days 00:00:29.251000,0 days 00:00:37.051000,0 days 00:00:25.304000,2.0,MEDIUM,12.0,True,1,,,False,91.606
63,RUS,Mercedes,41.0,0 days 00:01:31.124000,0 days 00:00:29.144000,0 days 00:00:36.929000,0 days 00:00:25.051000,2.0,MEDIUM,13.0,True,1,,,True,91.124
63,RUS,Mercedes,42.0,0 days 00:01:31.188000,0 days 00:00:29.144000,0 days 00:00:36.948000,0 days 00:00:25.096000,2.0,MEDIUM,14.0,True,1,,,False,91.188
63,RUS,Mercedes,43.0,0 days 00:01:31.231000,0 days 00:00:29.193000,0 days 00:00:36.759000,0 days 00:00:25.279000,2.0,MEDIUM,15.0,True,1,,,False,91.231
63,RUS,Mercedes,44.0,0 days 00:01:31.568000,0 days 00:00:29.174000,0 days 00:00:37.026000,0 days 00:00:25.368000,2.0,MEDIUM,16.0,True,1,,,False,91.568
63,RUS,Mercedes,45.0,0 days 00:01:31.718000,0 days 00:00:29.201000,0 days 00:00:37.067000,0 days 00:00:25.450000,2.0,MEDIUM,17.0,True,1,,,False,91.718
63,RUS,Mercedes,46.0,0 days 00:01:31.984000,0 days 00:00:29.319000,0 days 00:00:37.124000,0 days 00:00:25.541000,2.0,MEDIUM,18.0,True,1,,,False,91.984
63,RUS,Mercedes,47.0,0 days 00:01:31.644000,0 days 00:00:29.177000,0 days 00:00:36.978000,0 days 00:00:25.489000,2.0,MEDIUM,19.0,True,1,,,False,91.644
63,RUS,Mercedes,48.0,0 days 00:01:31.569000,0 days 00:00:29.189000,0 days 00:00:37.001000,0 days 00:00:25.379000,2.0,MEDIUM,20.0,True,1,,,False,91.569
63,RUS,Mercedes,49.0,0 days 00:01:31.612000,0 days 00:00:29.143000,0 days 00:00:36.987000,0 days 00:00:25.482000,2.0,MEDIUM,21.0,True,1,,,False,91.612
63,RUS,Mercedes,50.0,0 days 00:01:31.421000,0 days 00:00:29.173000,0 days 00:00:36.843000,0 days 00:00:25.405000,2.0,MEDIUM,22.0,True,1,,,False,91.421
63,RUS,Mercedes,51.0,0 days 00:01:31.563000,0 days 00:00:29.089000,0 days 00:00:37.001000,0 days 00:00:25.473000,2.0,MEDIUM,23.0,True,1,,,False,91.563
63,RUS,Mercedes,52.0,0 days 00:01:31.433000,0 days 00:00:29.079000,0 days 00:00:36.925000,0 days 00:00:25.429000,2.0,MEDIUM,24.0,True,1,,,False,91.433
77,BOT,Alfa Romeo,1.0,0 days 00:01:44.975000,,0 days 00:00:40.871000,0 days 00:00:27.112000,1.0,HARD,1.0,True,1,,,False,104.975
77,BOT,Alfa Romeo,2.0,0 days 00:01:36.741000,0 days 00:00:30.424000,0 days 00:00:39.379000,0 days 00:00:26.938000,1.0,HARD,2.0,True,1,,,True,96.741
77,BOT,Alfa Romeo,3.0,0 days 00:01:34.865000,0 days 00:00:29.844000,0 days 00:00:38.861000,0 days 00:00:26.160000,1.0,HARD,3.0,True,1,,,True,94.865
77,BOT,Alfa Romeo,4.0,0 days 00:01:34.611000,0 days 00:00:29.847000,0 days 00:00:38.703000,0 days 00:00:26.061000,1.0,HARD,4.0,True,1,,,True,94.611
77,BOT,Alfa Romeo,5.0,0 days 00:01:34.804000,0 days 00:00:29.766000,0 days 00:00:38.804000,0 days 00:00:26.234000,1.0,HARD,5.0,True,1,,,False,94.804
77,BOT,Alfa Romeo,6.0,0 days 00:01:34.791000,0 days 00:00:30.046000,0 days 00:00:38.444000,0 days 00:00:26.301000,1.0,HARD,6.0,True,1,,,False,94.791
77,BOT,Alfa Romeo,7.0,0 days 00:01:34.879000,0 days 00:00:29.863000,0 days 00:00:38.733000,0 days 00:00:26.283000,1.0,HARD,7.0,True,1,,,False,94.879
77,BOT,Alfa Romeo,8.0,0 days 00:01:34.476000,0 days 00:00:29.875000,0 days 00:00:38.578000,0 days 00:00:26.023000,1.0,HARD,8.0,True,1,,,True,94.476
77,BOT,Alfa Romeo,9.0,0 days 00:01:34.386000,0 days 00:00:29.954000,0 days 00:00:38.344000,0 days 00:00:26.088000,1.0,HARD,9.0,True,1,,,True,94.386
77,BOT,Alfa Romeo,10.0,0 days 00:01:34.306000,0 days 00:00:30.015000,0 days 00:00:38.203000,0 days 00:00:26.088000,1.0,HARD,10.0,True,1,,,True,94.306
77,BOT,Alfa Romeo,11.0,0 days 00:01:34.354000,0 days 00:00:29.900000,0 days 00:00:38.383000,0 days 00:00:26.071000,1.0,HARD,11.0,True,1,,,False,94.354
77,BOT,Alfa Romeo,12.0,0 days 00:01:34.541000,0 days 00:00:30.094000,0 days 00:00:38.281000,0 days 00:00:26.166000,1.0,HARD,12.0,True,1,,,False,94.541
77,BOT,Alfa Romeo,13.0,0 days 00:01:34.618000,0 days 00:00:30.119000,0 days 00:00:38.272000,0 days 00:00:26.227000,1.0,HARD,13.0,True,1,,,False,94.618
77,BOT,Alfa Romeo,14.0,0 days 00:01:34.604000,0 days 00:00:30.215000,0 days 00:00:38.253000,0 days 00:00:26.136000,1.0,HARD,14.0,True,1,,,False,94.604
77,BOT,Alfa Romeo,15.0,0 days 00:01:34.627000,0 days 00:00:30.331000,0 days 00:00:38.191000,0 days 00:00:26.105000,1.0,HARD,15.0,True,1,,,False,94.627
77,BOT,Alfa Romeo,16.0,0 days 00:01:34.367000,0 days 00:00:30.152000,0 days 00:00:38.057000,0 days 00:00:26.158000,1.0,HARD,16.0,True,1,,,False,94.367
77,BOT,Alfa Romeo,17.0,0 days 00:01:33.867000,0 days 00:00:30.111000,0 days 00:00:37.712000,0 days 00:00:26.044000,1.0,HARD,17.0,True,1,,,True,93.867
